uuid,x,y
uuid:b9309b54-a411-4ddf-9d2f-0524b8279efe,-7.202528,6.360964
uuid:352643cd-e060-4442-8a5d-90160484d946,8.267153,1.0050975
uuid:c608b4ce-e3a0-4fd7-9df1-a9a70b0eee56,-7.0735297,4.411519
uuid:c830c902-270d-406d-9f16-ee4287e7f3de,-5.6085157,6.189943
uuid:dec7f25c-5e01-4500-ba02-e13480011dec,2.3569043,-5.1148663
uuid:c6b3ae16-538e-4235-9b74-8dedc8c294c1,-5.757353,5.4706125
uuid:d816bd4e-8f14-409a-ab72-604a2f252d0a,-7.7806416,4.3091607
uuid:f5386c5f-117c-48e3-9759-ba70469081c7,-2.5163295,-3.2304766
uuid:601ae3f4-efea-409a-aadf-662abc01ecea,-8.447214,4.915415
uuid:e7805d92-b11a-4b58-a7d5-2522ec4702c2,-8.514991,4.8010707
uuid:508f06af-0f1b-4c70-a52c-73ba7ad740bf,8.433839,0.83972275
uuid:37d23ac5-56d8-43dc-8d47-67e292097810,7.9262843,0.95597625
uuid:d4966f73-5324-4a6c-9e59-92e612c835be,-5.892466,6.293459
uuid:6f317de9-3fd0-4376-affa-ececdc1179e5,8.501534,1.2054119
uuid:63657d5e-a7df-49f1-9040-ca0906e1eac3,4.175906,-2.1799693
uuid:21eb1471-080a-4d8b-8c0d-92e3e3d857c0,-8.473088,5.6260343
uuid:0eed9f73-7976-45da-94db-57a7978be932,-8.221472,4.5692515
uuid:1eac4402-2bd7-480a-8866-1e11e678a5e2,-8.36697,4.7880707
uuid:4a70b51a-02ee-4e62-9337-9b73d8a663ed,-7.7200356,4.341318
uuid:c3a8756e-21ca-4a2f-9240-894de68cdbb7,-7.297352,6.484181
uuid:169ffca4-9c21-468d-9763-65d6ac50ac2d,-8.925432,4.752848
uuid:8288c66a-5046-474e-b8ff-660df13da28f,-7.801201,4.9258657
uuid:e6a8b860-a491-426d-bfeb-501cc8a32704,-1.8351536,7.318512
uuid:0385500e-9c0f-4911-80c3-e3228167a0f7,-7.00019,6.326717
uuid:12a9cf91-6a66-43b0-b5d0-5140822dd41a,-6.5643396,4.3006687
uuid:47e95cbc-8704-4f76-8710-7aad21847950,-4.234616,4.4652658
uuid:95dff12e-f42b-4327-b1bc-7d46303d1a7d,-3.5402052,5.6489396
uuid:53001886-6efb-48ad-8ff0-4afebc487e72,4.2137856,-1.9404552
uuid:4f33ca37-0fe6-454d-806c-0124d484c15c,-8.599634,5.0317044
uuid:0847a6ae-55fd-4505-8fca-fbf4c1924ecb,1.812909,1.7712795
uuid:15a567b5-a913-4591-b082-93fccbda1876,5.410702,-0.2256525
uuid:167734bf-9a11-4ca7-b2f1-7e36ce6d0fe2,5.246399,-0.25933218
uuid:f40fa5de-13b0-45f9-b3d3-0129fdecc29e,-8.008574,5.288706
uuid:ed787a8c-6bc8-4b21-b6cb-0f380d3f3c69,2.5046794,-4.83053
uuid:ebd6a2d0-70cc-4fb8-bfa0-563ae25112de,-7.589557,4.413104
uuid:3f96aed6-c00f-415a-944d-b8a2b33d598d,6.8479633,0.2713552
uuid:48f33c33-d450-49c1-94af-600c4de03ffa,-5.6176224,6.290091
uuid:d67dce11-c0f5-47d1-9965-b15b85ec23ae,-6.8276114,6.0470343
uuid:182d6317-f8df-40fb-b222-ded98eef12d6,-1.9300154,0.906058
uuid:a3a10835-da2a-4b00-9e92-d08c2aa1acad,2.583941,-5.2361608
uuid:64a4b5f2-9256-4543-99a2-acc7619ed64d,-6.9466534,5.764965
uuid:6dae6315-6fb4-4c1c-8e50-9ffdde23df0c,0.30705595,-3.4793873
uuid:07fb5d94-8370-4103-81a4-279c9db307c9,-8.22393,4.425604
uuid:30585d27-4486-4299-8496-1ac940ed8c8b,3.7695925,-2.297689
uuid:9773a93d-bc7e-4220-bd30-c381ca262b2d,-2.2397642,0.61942345
uuid:453521ea-dccd-4aa9-b0ba-5c2c18a1002a,5.8489995,2.60936
uuid:cea2c9bf-751e-484b-90cf-150a6b2dc66c,6.9327855,2.8714752
uuid:1876d6c4-818e-4f65-bdcb-04d37a398ed7,5.9819584,-0.26710588
uuid:777b24a1-1d41-4327-b898-9c50e19e7e19,6.8312125,-1.074678
uuid:10d64d6d-b60d-4f6d-be4d-e11be942cae4,-8.105902,4.4344125
uuid:bbc7b978-7313-4c7e-ade1-c4cfb7f51429,-5.1975155,5.289961
uuid:64a4b5f2-9256-4543-99a2-acc7619ed64d,-6.9490423,5.7655425
uuid:6dae6315-6fb4-4c1c-8e50-9ffdde23df0c,0.3055171,-3.4787557
uuid:07fb5d94-8370-4103-81a4-279c9db307c9,-8.224649,4.4261074
uuid:30585d27-4486-4299-8496-1ac940ed8c8b,3.7668002,-2.299181
uuid:9773a93d-bc7e-4220-bd30-c381ca262b2d,-2.240215,0.6201925
uuid:453521ea-dccd-4aa9-b0ba-5c2c18a1002a,5.8488646,2.6104422
uuid:cea2c9bf-751e-484b-90cf-150a6b2dc66c,6.933679,2.8712904
uuid:1876d6c4-818e-4f65-bdcb-04d37a398ed7,5.9855804,-0.2661727
uuid:777b24a1-1d41-4327-b898-9c50e19e7e19,6.831517,-1.0740854
uuid:10d64d6d-b60d-4f6d-be4d-e11be942cae4,-8.106978,4.4357343
uuid:bbc7b978-7313-4c7e-ade1-c4cfb7f51429,-5.1981072,5.290801
uuid:86422e64-f4e0-432b-847f-88e725bc2077,-7.5439973,4.2622333
uuid:03456550-fa6a-4e48-a64b-44a732a3808a,-7.1521335,4.3063736
uuid:ab1b820e-ed76-4328-80d7-1eeafb6ac09f,7.217862,-0.3580355
uuid:8416a16f-a9c2-4ae9-8da7-fc77b575ffde,-7.2673182,5.960546
uuid:4b081d06-dd2b-4ebb-8020-f4dacd605cf1,5.9767237,-2.4381628
uuid:305c2f98-6a2b-4205-91af-bd75bd64aef3,-8.688851,4.959078
uuid:8986ddd1-73a5-425c-ba62-8c0fbf0650ad,-8.259573,4.7860284
uuid:0457af9a-81a4-40a1-a2cb-2223a51f55bd,4.8172984,-2.156521
uuid:340c6631-1d4e-490f-8720-a85e41f40ac4,-7.705357,5.2607923
uuid:5a54363e-05e7-46fc-abf8-2e3ebc9ff46b,-8.169458,4.655015
uuid:a87bdfd6-96b0-4380-97f9-ceb0f2205d2a,-8.76705,4.9945793
uuid:35fbea8e-ecc3-4209-b09f-dddcd1d5e3e2,-2.0847118,7.466506
uuid:d0a98ff4-31ce-4097-b072-0dedff6321a3,-8.361984,5.0562634
uuid:fcc1da2e-998d-4489-a26d-d658e8987b86,-7.7372575,4.3375893
uuid:71f40a9c-4615-4c9d-9301-f7fb467395a3,4.093622,0.2770819
uuid:e734b0fc-e86f-46a7-9fe6-cc2d9d80e19d,7.2735033,1.8528795
